station_id,station_name,radius_m,band,n_routes,n_destinations,n_departures,departures_per_hour,retention,grade,best_headway_min,expected_wait_min,nearest_bus_stop_m,usable
CHP,Chaitanyapuri,500,morning_peak,106,62,497,165.66666666666666,1.1081382385730212,maintained,5.806451612903226,0.18108651911468812,11.36403525245405,True
CHP,Chaitanyapuri,500,night,62,31,296,98.66666666666667,0.6599777034559644,maintained,5.806451612903226,0.3040540540540541,11.36403525245405,True
CHP,Chaitanyapuri,800,evening_peak,96,54,633,158.25,1.0,maintained,5.1063829787234045,0.1895734597156398,11.36403525245405,True
CHP,Chaitanyapuri,800,late_night,5,3,13,2.6,0.016429699842022118,collapsed,50.0,11.538461538461538,11.36403525245405,True
CHP,Chaitanyapuri,800,midday,90,56,831,138.5,0.8751974723538705,maintained,5.714285714285714,0.21660649819494587,11.36403525245405,True
CHP,Chaitanyapuri,800,morning_peak,109,65,509,169.66666666666666,1.072143233280674,maintained,5.806451612903226,0.1768172888015717,11.36403525245405,True
CHP,Chaitanyapuri,800,night,63,32,307,102.33333333333333,0.6466561348077935,maintained,5.806451612903226,0.2931596091205212,11.36403525245405,True
CDP,Chikkadpally,300,evening_peak,22,17,159,39.75,1.0,maintained,8.0,0.7547169811320755,197.87727483979558,True
CDP,Chikkadpally,300,late_night,0,0,0,0.0,0.0,no_service,,inf,,False
CDP,Chikkadpally,300,midday,26,15,239,39.833333333333336,1.0020964360587004,maintained,7.346938775510204,0.7531380753138076,197.87727483979558,True
CDP,Chikkadpally,300,morning_peak,20,12,123,41.0,1.0314465408805031,maintained,6.428571428571429,0.7317073170731709,197.87727483979558,True
CDP,Chikkadpally,300,night,12,8,58,19.333333333333332,0.4863731656184486,maintained,7.5,1.551724137931035,197.87727483979558,True
CDP,Chikkadpally,500,evening_peak,39,38,338,84.5,1.0,maintained,4.615384615384615,0.3550295857988166,197.87727483979558,True
CDP,Chikkadpally,500,late_night,3,2,6,1.2,0.014201183431952662,collapsed,75.0,25.0,305.24195494359157,True
CDP,Chikkadpally,500,midday,40,35,458,76.33333333333333,0.903353057199211,maintained,4.7368421052631575,0.39301310043668125,197.87727483979558,True
CDP,Chikkadpally,500,morning_peak,37,33,266,88.66666666666667,1.04930966469428,maintained,3.6,0.33834586466165417,197.87727483979558,True
CDP,Chikkadpally,500,night,31,23,184,61.333333333333336,0.7258382642998028,maintained,5.0,0.48913043478260876,197.87727483979558,True
CDP,Chikkadpally,800,evening_peak,62,74,576,144.0,1.0,maintained,4.615384615384615,0.20833333333333331,197.87727483979558,True
CDP,Chikkadpally,800,late_night,5,4,9,1.8,0.0125,collapsed,75.0,16.666666666666668,305.24195494359157,True
CDP,Chikkadpally,800,midday,76,78,806,134.33333333333334,0.9328703703703705,maintained,4.390243902439025,0.2233250620347395,197.87727483979558,True
CDP,Chikkadpally,800,morning_peak,74,70,462,154.0,1.0694444444444444,maintained,3.4615384615384617,0.1948051948051948,197.87727483979558,True
CDP,Chikkadpally,800,night,53,42,310,103.33333333333333,0.7175925925925926,maintained,5.0,0.2903225806451613,197.87727483979558,True
DSN,Dilsukh Nagar,300,evening_peak,101,57,687,171.75,1.0,maintained,3.1578947368421053,0.17467248908296945,167.05769135223815,True
DSN,Dilsukh Nagar,300,late_night,6,4,12,2.4,0.013973799126637555,collapsed,75.0,12.5,167.05769135223815,True
DSN,Dilsukh Nagar,300,midday,95,60,960,160.0,0.9315866084425036,maintained,2.6666666666666665,0.1875,167.05769135223815,True
DSN,Dilsukh Nagar,300,morning_peak,115,70,570,190.0,1.1062590975254731,maintained,3.673469387755102,0.15789473684210528,167.05769135223815,True
DSN,Dilsukh Nagar,300,night,62,32,340,113.33333333333333,0.6598738476467734,maintained,4.615384615384615,0.2647058823529412,167.05769135223815,True
DSN,Dilsukh Nagar,500,evening_peak,101,57,687,171.75,1.0,maintained,3.1578947368421053,0.17467248908296945,167.05769135223815,True
DSN,Dilsukh Nagar,500,late_night,6,4,12,2.4,0.013973799126637555,collapsed,75.0,12.5,167.05769135223815,True
DSN,Dilsukh Nagar,500,midday,95,60,960,160.0,0.9315866084425036,maintained,2.6666666666666665,0.1875,167.05769135223815,True
DSN,Dilsukh Nagar,500,morning_peak,115,70,570,190.0,1.1062590975254731,maintained,3.673469387755102,0.15789473684210528,167.05769135223815,True
DSN,Dilsukh Nagar,500,night,62,32,340,113.33333333333333,0.6598738476467734,maintained,4.615384615384615,0.2647058823529412,167.05769135223815,True
DSN,Dilsukh Nagar,800,evening_peak,101,57,694,173.5,1.0,maintained,3.1578947368421053,0.17291066282420747,167.05769135223815,True
DSN,Dilsukh Nagar,800,late_night,7,4,15,3.0,0.01729106628242075,collapsed,50.0,10.0,167.05769135223815,True
DSN,Dilsukh Nagar,800,midday,95,60,968,161.33333333333334,0.9298751200768492,maintained,2.6666666666666665,0.18595041322314051,167.05769135223815,True
DSN,Dilsukh Nagar,800,morning_peak,116,70,572,190.66666666666666,1.0989433237271853,maintained,3.673469387755102,0.15734265734265737,167.05769135223815,True
DSN,Dilsukh Nagar,800,night,62,32,347,115.66666666666667,0.6666666666666667,maintained,4.615384615384615,0.25936599423631124,167.05769135223815,True
DGC,Durgam Cheruvu,300,evening_peak,16,17,250,62.5,1.0,maintained,2.1238938053097347,0.48,117.27432598940239,True
DGC,Durgam Cheruvu,300,late_night,2,1,12,2.4,0.0384,collapsed,33.333333333333336,12.5,117.27432598940239,True
DGC,Durgam Cheruvu,300,midday,16,15,261,43.5,0.696,maintained,2.9508196721311477,0.6896551724137933,117.27432598940239,True
DGC,Durgam Cheruvu,300,morning_peak,18,16,170,56.666666666666664,0.9066666666666666,maintained,2.4,0.5294117647058824,117.27432598940239,True
DGC,Durgam Cheruvu,300,night,8,12,115,38.333333333333336,0.6133333333333334,maintained,2.857142857142857,0.782608695652174,117.27432598940239,True
DGC,Durgam Cheruvu,500,evening_peak,16,17,250,62.5,1.0,maintained,2.1238938053097347,0.48,117.27432598940239,True
DGC,Durgam Cheruvu,500,late_night,2,1,12,2.4,0.0384,collapsed,33.333333333333336,12.5,117.27432598940239,True
DGC,Durgam Cheruvu,500,midday,16,15,265,44.166666666666664,0.7066666666666667,maintained,2.9508196721311477,0.6792452830188681,117.27432598940239,True
DGC,Durgam Cheruvu,500,morning_peak,18,16,171,57.0,0.912,maintained,2.4,0.5263157894736842,117.27432598940239,True
DGC,Durgam Cheruvu,500,night,8,12,120,40.0,0.64,maintained,2.6470588235294117,0.75,117.27432598940239,True
DGC,Durgam Cheruvu,800,evening_peak,16,17,250,62.5,1.0,maintained,2.1238938053097347,0.48,117.27432598940239,True
DGC,Durgam Cheruvu,800,late_night,2,1,12,2.4,0.0384,collapsed,33.333333333333336,12.5,117.27432598940239,True
DGC,Durgam Cheruvu,800,midday,16,15,265,44.166666666666664,0.7066666666666667,maintained,2.9508196721311477,0.6792452830188681,117.27432598940239,True
DGC,Durgam Cheruvu,800,morning_peak,18,16,171,57.0,0.912,maintained,2.4,0.5263157894736842,117.27432598940239,True
DGC,Durgam Cheruvu,800,night,8,12,120,40.0,0.64,maintained,2.6470588235294117,0.75,117.27432598940239,True
ESI,ESI Hospital,300,evening_peak,60,42,596,149.0,1.0,maintained,3.287671232876712,0.20134228187919456,18.065188311115744,True
ESI,ESI Hospital,300,late_night,3,3,5,1.0,0.006711409395973154,no_service,100.0,30.0,18.065188311115744,True
ESI,ESI Hospital,300,midday,59,41,750,125.0,0.8389261744966443,maintained,3.6,0.24000000000000005,18.065188311115744,True
ESI,ESI Hospital,300,morning_peak,50,36,406,135.33333333333334,0.9082774049217003,maintained,3.75,0.22167487684729065,18.065188311115744,True
ESI,ESI Hospital,300,night,34,22,189,63.0,0.4228187919463087,maintained,9.473684210526315,0.47619047619047616,18.065188311115744,True
ESI,ESI Hospital,500,evening_peak,67,77,675,168.75,1.0,maintained,3.037974683544304,0.17777777777777776,18.065188311115744,True
ESI,ESI Hospital,500,late_night,7,7,13,2.6,0.015407407407407408,collapsed,60.0,11.538461538461538,18.065188311115744,True
ESI,ESI Hospital,500,midday,78,78,874,145.66666666666666,0.8632098765432098,maintained,3.6,0.20594965675057209,18.065188311115744,True
